wrong,correct
一  加,一加
n 4s,n4s
光明 大陆,光明大陆
王者 荣耀,王者荣耀
荣耀fps,荣耀 fps
头 天下 单,头天 下单
ヽ,
冲 半天,充 半天
冲 过,充 过
里装,里 装
东西连,东西 连
机中,机 中
开 机界面,开机 界面
ノ,
键盘 侠,键盘侠
天不给,天 不给
比买,比 买
魅 蓝,魅蓝
比魅,比 魅
信 价比,性价比
屏 占 比,屏占比
占 比,占比
比高,比 高
比米,比 米
比用,比 用
比差,比 差
比同,比 同
比前,比 前
比买,比 买
比上,比 上
没电开,没电 开
还会,还会 
我下,我 下
我订,我 订
我认,我 认
我试,我 试
我该,我 该
我超,我 超
我选,我 选
我本,我 本
我来,我 来
我查,我 查
我点,我 点
我花,我 花
我充,我 充
我出,我 出
我前,我 前
我人,我 人
我付,我 付
我信,我 信
我发,我 发
我定,我 定
我开,我 开
我手,我 手
我换,我 换
我情,我 情
给你个,给 你 个
副耳机,副 耳机
台机,台 机
开不机,开不了 机
功能 机,功能机
安卓 机,安卓机
机好,机 好
机就,机 就
机是,机 是
机有,机 有
机用,机 用
机能,机 能
机要,机 要
机都,机 都
过机,过 机
买米,买 米
从米,从 米
用米,用 米
京准 达, 京准达
2 手东,二手东
two 手东,二手东
